Concentration;DAPD;Drug;IKr block;ICaL block;Nominal concentration
0.09615;20.9192308;Chlorpromazine;21.81923605;4.132055689;0.3
0.36;40.6057692;Chlorpromazine;41.03165268;12.76725069;1
0.05465;-12.048077;Chlorpromazine;15.87999644;2.490782888;0.3
0.226;19.5211538;Chlorpromazine;33.51839726;8.684240827;1
1.137;9.9461538;Chlorpromazine;60.66312729;29.80177016;3
0.068;44.4153847;Chlorpromazine;18.00599043;3.032570095;0.3
0.348;41.248077;Chlorpromazine;40.46524259;12.42168909;1
1.44;55.573077;Chlorpromazine;64.48914909;34.57015199;3
0.0849;-19.46923077;Chlorpromazine;20.38601007;3.698972905;0.3
0.4195;1.309615385;Chlorpromazine;43.61482735;14.42962216;1
1.445;-0.401923077;Chlorpromazine;64.54405983;34.64278894;3
0.16225;24.41538462;Chlorpromazine;28.61498838;6.539447974;0.3
0.3615;10.80576923;Chlorpromazine;41.10128989;12.81019404;1
1.425;42.01923077;Chlorpromazine;64.32303414;34.35115603;3
0.1168;-7.057692308;Chlorpromazine;24.2026615;4.90771211;0.3
0.4525;-6.178846154;Chlorpromazine;44.90752192;15.31721029;1
1.635;12.4;Chlorpromazine;66.47517711;37.27619359;3
0.3335;44.3192308;Clozapine;15.8684854;8.320133376;0.3
0.9795;-0.2403846;Clozapine;34.1071495;19.85330266;1
2.49;40.5326923;Clozapine;55.37154316;37.14651892;3
0.25;-1.4;Clozapine;12.58597526;6.487547204;0.3
2.605;-13.1192307;Clozapine;56.41444897;38.13418858;3
2.29;-18.2942307;Clozapine;53.42558145;35.34351582;3
0.3225;-17.3038462;Clozapine;15.45341254;8.084778577;0.3
1.35;-1.4423077;Clozapine;41.14639439;25.03988416;1
2.425;-8.9211539;Clozapine;54.75829035;36.57278224;3
0.2635;12.0192308;Clozapine;13.1382096;6.791330128;0.3
2.23;21.5096154;Clozapine;52.80606555;34.7801224;3
3.375;16.1307692;Clozapine;62.26115119;43.96695441;3
0.2475;15.9788461;Clozapine;12.482733;6.430952367;0.3
0.9575;37.1903846;Clozapine;33.63040902;19.51857099;1
2.7;39.6153846;Clozapine;57.23785204;38.92482904;3
0.3065;0.6096154;Clozapine;14.84067161;7.739287904;0.3
1.0265;-6.0653846;Clozapine;35.10088587;20.55750537;1
0.3;-10.3057692;Clozapine;14.58862319;7.597839732;0.3
3;-9.9173077;Clozapine;59.63512847;41.28303418;3
30;12.4403846;Clozapine;92.74260586;85.73842479;30
0.3;1.5653847;Clozapine;14.58862319;7.597839732;0.3
3;9.5673077;Clozapine;59.63512847;41.28303418;3
30;6.5269231;Clozapine;92.74260586;85.73842479;30
0.3;6.4153847;Clozapine;14.58862319;7.597839732;0.3
3;3.725;Clozapine;59.63512847;41.28303418;3
30;0.9442308;Clozapine;92.74260586;85.73842479;30
0.3;24.6615385;Clozapine;14.58862319;7.597839732;0.3
3;16.525;Clozapine;59.63512847;41.28303418;3
30;40.3596154;Clozapine;92.74260586;85.73842479;30
0.001;17.5576923;Dofetilide;1.696192417;9.99E-12;0.001
0.01;83.4461539;Dofetilide;20.15128366;1.00E-10;0.01
0.1;303.9594552;Dofetilide;78.68338438;1.00E-09;0.1
0.2;428.4076923;Dofetilide;89.22133751;2.00E-09;0.2
0.001;42.3846154;Dofetilide;1.696192417;9.99E-12;0.001
0.01;128.7557692;Dofetilide;20.15128366;1.00E-10;0.01
0.1;292.6692308;Dofetilide;78.68338438;1.00E-09;0.1
0.2;336.5884615;Dofetilide;89.22133751;2.00E-09;0.2
0.001;30.4076923;Dofetilide;1.696192417;9.99E-12;0.001
0.01;96.7846154;Dofetilide;20.15128366;1.00E-10;0.01
0.1;302.9038462;Dofetilide;78.68338438;1.00E-09;0.1
0.2;373.6423077;Dofetilide;89.22133751;2.00E-09;0.2
0.001;44.8288461;Dofetilide;1.696192417;9.99E-12;0.001
0.01;96.6173077;Dofetilide;20.15128366;1.00E-10;0.01
0.1;217.6942308;Dofetilide;78.68338438;1.00E-09;0.1
0.2;256.9903846;Dofetilide;89.22133751;2.00E-09;0.2
0.001;0.6711539;Dofetilide;1.696192417;9.99E-12;0.001
0.01;83.5769231;Dofetilide;20.15128366;1.00E-10;0.01
0.1;191.1769231;Dofetilide;78.68338438;1.00E-09;0.1
0.2;236.4269231;Dofetilide;89.22133751;2.00E-09;0.2
0.001;33.1019231;Dofetilide;1.696192417;9.99E-12;0.001
0.01;159.7134616;Dofetilide;20.15128366;1.00E-10;0.01
0.001;25.5884616;Dofetilide;1.696192417;9.99E-12;0.001
0.01;78.2461539;Dofetilide;20.15128366;1.00E-10;0.01
0.1;296.4384616;Dofetilide;78.68338438;1.00E-09;0.1
0.2;478.8673077;Dofetilide;89.22133751;2.00E-09;0.2
0.001;8.2307692;Dofetilide;1.696192417;9.99E-12;0.001
0.01;85.4076923;Dofetilide;20.15128366;1.00E-10;0.01
0.1;271.0326923;Dofetilide;78.68338438;1.00E-09;0.1
0.001;8.2105351;Dofetilide;1.696192417;9.99E-12;0.001
0.001;21.426923;Dofetilide;1.696192417;9.99E-12;0.001
0.01;82.4634615;Dofetilide;20.15128366;1.00E-10;0.01
0.1;388.9173077;Dofetilide;78.68338438;1.00E-09;0.1
0.2;403.8923077;Dofetilide;89.22133751;2.00E-09;0.2
0.001;-18.1923077;Dofetilide;1.696192417;9.99E-12;0.001
0.01;40.5480769;Dofetilide;20.15128366;1.00E-10;0.01
0.001;3.8692308;Dofetilide;1.696192417;9.99E-12;0.001
0.01;59.6153846;Dofetilide;20.15128366;1.00E-10;0.01
0.1;153.6923077;Dofetilide;78.68338438;1.00E-09;0.1
0.2;158.4403846;Dofetilide;89.22133751;2.00E-09;0.2
0.001;36.1038461;Dofetilide;1.696192417;9.99E-12;0.001
0.01;98.6019231;Dofetilide;20.15128366;1.00E-10;0.01
0.1;235.7365384;Dofetilide;78.68338438;1.00E-09;0.1
